name,icon,address,description
深圳露营区,⛺,深圳荔枝公园,北门大草坪（单月）、浸月桥边草坪（双月）
深圳露营区,⛺,深圳莲花山公园,风筝草坪、深业上城连廊草坪
深圳露营区,⛺,深圳相思林公园,相思广场
深圳露营区,⛺,深圳深圳中心公园,全园草坪
深圳露营区,⛺,深圳梅林山公园,古荔区西门荔枝林
深圳露营区,⛺,深圳笔架山公园,滚球场大草坪、天趣谷草坪、桉树林
深圳露营区,⛺,深圳大沙河公园,山顶晴雨廊对面草坪、三生亭下边草坪
深圳露营区,⛺,深圳内湖公园,3号桥旁圆形广场、5号桥两侧场地
深圳露营区,⛺,深圳洪湖公园,绿天坪
深圳露营区,⛺,深圳深圳湾公园,海风运动公园
